mood,song_path,quote
happy,songs\happy\gundellona.mp3,Happiness is not something ready-made. It comes from your own actions. – Dalai Lama
happy,songs\happy\chitti.mp3,The most wasted of all days is one without laughter. – E. E. Cummings
happy,songs\happy\Poolamme Pilla.mp3,"Keep your face always toward the sunshine, and shadows will fall behind you. – Walt Whitman"
sad,songs\sad\oosupodu.mp3,Even the darkest night will end and the sun will rise. – Victor Hugo
sad,songs\sad\Neeti Mullai.mp3,Tears are words that the heart can't express. – Gerard Way
sad,songs\sad\nannaku_prematho.mp3,It's okay to not be okay. Healing takes time.
calm,songs\calm\Unakkul Naane.mp3,Peace is the result of retraining your mind to process life as it is. – Wayne Dyer
calm,songs\calm\Poolamme Pilla.mp3,Breathe. Let go. And remind yourself that this very moment is the only one you know you have for sure.
calm,songs\calm\darshana.mp3,Silence is a source of great strength. – Lao Tzu
energetic,songs\energetic\Kurchi Madatha Petti.mp3,Energy and persistence conquer all things. – Benjamin Franklin
energetic,songs\energetic\Hungry Cheetah.mp3,The secret of getting ahead is getting started. – Mark Twain
energetic,songs\energetic\Aaya Sher.mp3,Don't watch the clock; do what it does. Keep going. – Sam Levenson
love,songs\love\Samayama.mp3,The best thing to hold onto in life is each other. – Audrey Hepburn
love,songs\love\darshana.mp3,Where there is love there is life. – Mahatma Gandhi
love,songs\love\Baitikochi Chuste.mp3,"You are my sun, my moon, and all of my stars. – E. E. Cummings"
